2|-10130.3219632956|-186774.476665126|0.059
5|65133.512747959|-275749.35074046|0.050
6|-154539.389404984|59211.2143587737|0.070
7|-52536.3181541774|-129380.530545247|0.057
8|-184574.85783644|227563.883455963|0.065
12|-156425.083554849|178521.903391013|0.065
13|-63547.173347679|82241.9898983|0.079
15|13478.6219134319|-206549.636464027|0.053
19|-158129.542294893|-137289.803747702|0.093
21|9560.79566242598|-238665.406159249|0.066
27|-165509.032779469|89664.3871072239|0.071
30|-133909.686280187|96092.5337834017|0.068
32|-174578.214719667|136320.631329386|0.065
33|69688.2815672635|-190384.365580452|0.056
35|141160.744313677|-71999.4905644353|0.076
39|44402.6587203866|-157547.167122236|0.055
41|428542.481943064|-541784.031404215|0.066
43|-122285.593908407|339653.086734783|0.062
44|246189.756273866|-446590.14388033|0.076
47|-145621.655904145|-8438.02840444085|0.074
49|249889.736690173|-525125.078261028|0.236
52|-59964.3606429271|-300999.769129466|0.105
54|3799.01824534189|-262999.108880652|0.071
56|-67532.8353254486|-111711.344135837|0.060
57|-36895.837353542|252754.84716311|0.086
61|-184441.602143802|188333.575041117|0.061
62|258265.067527098|-498936.747751207|0.069
64|-7152.79325946689|-381476.354856002|0.115
68|400355.141234699|-574704.794686065|0.075
70|-107488.280815064|-19468.5340045399|0.064
71|-104676.986477889|-40627.6362503814|0.089
75|211353.658419203|-478117.368398987|0.086
77|-210103.159063534|49096.6819474592|0.070
78|201971.50498153|-437402.607935084|0.054
80|22982.7025108942|-132847.188018924|0.056
82|212483.179400263|-429164.066705974|0.074
83|-243853.621201645|46353.8285840614|0.064
84|-113014.905402697|140239.505457757|0.059
85|-266340.051085875|114442.64096975|0.070
86|84335.0566816816|-184028.305650146|0.066
87|426907.824016304|-568146.713295305|0.053
88|36060.9704471406|-342662.771489715|0.105
89|-136576.144705504|-155228.551854142|0.079
90|-40080.3855060674|379650.559308726|0.077
91|-122176.646033617|438831.546263744|0.084
92|-78170.8682849632|-108951.52501535|0.075
94|12121.8761767381|-393789.986625544|0.079
99|140709.89929346|-440155.325373883|0.061
101|111343.532069527|-403851.579565688|0.097
103|-246664.486309376|60338.5375262195|0.087
104|-177377.088856687|-111337.491702633|0.090
105|-33935.52890919|-154039.058800166|0.060
106|-267551.160306955|111813.174526814|0.057
107|24254.235430585|-397537.816212884|0.072
109|-205815.464050221|25081.2688325729|0.072
111|-157147.296077359|-118075.974989689|0.071
113|-97450.4320035019|-210114.497807469|0.074
114|-115608.72144683|-183438.056915818|0.054
116|-150833.047559542|-143092.505611226|0.112
117|251474.790798754|-389499.778700529|0.060
118|325858.608617306|-457528.688685467|0.068
121|-155837.545288867|45782.7873138372|0.067
122|-156376.154864869|31116.8172420808|0.126
123|-185060.432635047|26259.7275574426|0.072
124|-65146.9572424642|-124957.66071915|0.059
125|111165.879089093|-311597.393487005|0.062
126|-121270.576012294|-128339.462797529|0.054
127|377231.284905874|-512729.960612681|0.100
128|412223.102155559|-523036.002349836|0.093
129|-155001.787526664|-122340.165180258|0.060
131|-105883.551618722|71227.8501643695|0.077
132|-145006.620604487|-94947.4763808299|0.055
133|162913.11548741|-422461.02155026|0.095
134|275556.645085016|-343682.182792521|0.061
135|495282.94149946|-481356.926478115|0.060
136|357391.083806182|-492588.500132985|0.062
137|275876.627794996|-490971.650466441|0.072
138|71227.966236627|-267814.128205716|0.056
139|-171856.74454095|55662.2063822605|0.081
140|-145168.422251278|12456.5435842145|0.071
141|372333.136153354|-489528.207560581|0.110
142|54588.5426814862|-143816.900817888|0.056
143|-130761.289947387|-131643.799229978|0.057
144|-228569.973298172|31015.5466437034|0.068
145|-16614.8258753503|-110965.247983365|0.054
146|28092.9877170355|-279060.490794278|0.061
147|287735.979905171|-593355.961281754|0.062
148|-34161.8122044254|-78009.2475480949|0.065
149|-191636.598512066|-23962.5311589572|0.119
150|267717.605121886|-565616.039609358|0.063
151|498407.886915726|-483956.401999211|0.059
152|92664.2616850219|-419938.103758568|0.076
153|282573.288786854|-543542.110458778|0.059
154|379336.50346546|-488008.547420908|0.188
155|-133967.435190047|65855.5850552846|0.104
156|73964.232716313|-419894.602244143|0.054
157|-216612.713740035|113.184573260957|0.076
158|-231677.901120456|48005.326162535|0.076
159|185799.494656324|-428107.444000849|0.059
160|-66662.5757058891|-297729.734435584|0.063
161|-100633.484696706|-63467.7966113608|0.090
162|346725.6832844|-467493.862757583|0.056
163|-58566.7875948935|-282572.275325922|0.100
165|-19376.8729292638|-352819.023859515|0.109
166|-121071.224519362|13515.3902408804|0.101
167|-129735.180332427|-31270.4779145917|0.059
168|-69073.4622832547|-50780.8169313|0.056
169|81671.3181360305|-214725.080824591|0.056
170|-177127.075880457|512.387750358152|0.060
171|-180906.987963282|-44439.2836809173|0.076
172|22678.9267015445|-253638.577771534|0.173
174|176526.138653407|-466907.171763344|0.124
175|490752.931217017|-500263.187143778|0.072
176|342539.532250384|-474316.406079584|0.056
177|-161324.932729819|-122555.114175862|0.079
178|-187976.371882749|-17707.7433224649|0.099
179|269666.258359124|-479406.098062277|0.062
180|391910.132283393|-534608.549256173|0.218
181|405477.194579531|-538877.470537424|0.065
182|67136.6729452916|-242406.872451142|0.061
183|186079.292480204|-167625.076436255|0.093
184|268519.845859717|-582877.51475841|0.089
187|-221582.642632787|11142.3665039703|0.071
189|183708.236282589|-182127.252754158|0.108
190|-21500.5193136803|-180752.362360839|0.066
191|-166491.658310032|-37956.4285731311|0.105
192|252692.775644973|-302612.019548506|0.204
194|-74821.3587852978|-32610.5965398415|0.084
195|-95317.8088023515|97666.2117590648|0.110
196|-185926.617936368|76981.2224712767|0.093
197|180555.576832115|-375496.70532965|0.111
