station goes
16.3296 15.97098515625
16.9344 16.16909765625
16.3296 16.1284236328125
10.0224 11.7708064453125
7.1712 7.38586494140625
14.688 15.9185337890625
13.9968 15.2701998046875
12.1824 12.8075229492188
17.3664 16.6590544921875
17.3664 16.742443359375
18.144 17.417942578125
15.8976 16.6794837890625
15.552 15.2457908203125
19.2672 17.8522259765625
19.3536 17.8337619140625
18.3168 18.3581384765625
20.304 19.3611251953125
16.1568 16.3987435546875
15.12 16.6221474609375
14.1696 16.4420982421875
21.4272 19.609484765625
20.8224 19.59562265625
21.7728 20.217251953125
22.2048 20.2925865234375
21.9456 20.6850005859375
11.4912 12.115079296875
22.2912 20.978546484375
20.6496 19.8602595703125
19.872 20.681096484375
23.328 21.105980859375
23.5008 21.674000390625
23.1552 21.5937931640625
21.6 21.4581849609375
15.2064 15.8557921875
17.5392 14.6234021484375
24.4512 22.235895703125
11.232 11.7060161132812
24.9696 22.992887109375
23.1552 22.1718146484375
25.056 23.1656888671875
25.6608 23.75525390625
20.1312 17.892646875
15.552 15.7235203125
9.4176 14.9603291015625
18.144 17.9811263671875
23.0688 22.3695017578125
17.9712 19.409765625
14.0832 14.0423211914063
25.5744 24.3404560546875
26.6976 24.754004296875
19.6992 19.377
15.2928 12.0882541992187
21.168 21.4141236328125
22.9824 24.5380359375
24.8832 20.151263671875
20.736 17.2492171875
26.2656 25.9160396484375
23.9328 23.818489453125
21.9456 21.072139453125
20.8224 24.8919556640625
27.8208 26.346371484375
18.8352 17.6825056640625
8.5536 9.983063671875
13.3056 17.0364814453125
25.2288 25.3488814453125
27.3024 26.8293498046875
26.9568 26.094280078125
20.1312 20.6297419921875
20.0448 17.476027734375
28.8576 26.8817783203125
29.0304 27.1970525390625
28.7712 27.52823671875
28.1664 27.0469458984375
28.7712 27.5967791015625
17.28 17.2223349609375
28.7712 27.1264201171875
26.0928 26.1121939453125
24.0192 23.66854453125
29.8944 27.86506875
30.4128 28.18366171875
29.808 28.2203560546875
29.7216 28.336123828125
29.5488 28.2482859375
28.8576 28.168846875
28.944 28.520651953125
27.9072 26.073165234375
29.2032 28.335807421875
29.7216 28.6574923828125
29.376 28.8749935546875
28.944 27.9550880859375
29.6352 27.984434765625
29.9808 28.7240009765625
30.24 28.65603515625
29.808 28.5941935546875
29.4624 28.4287693359375
29.2032 28.7671359375
28.944 28.6944697265625
28.512 28.5947982421875
29.0304 28.231597265625
29.2896 28.52294765625
30.0672 28.6964455078125
29.4624 28.9967396484375
29.0304 28.4063712890625
28.8576 28.8381146484375
29.808 28.7889626953125
29.808 28.8080068359375
29.7216 29.522049609375
24.7968 23.452864453125
29.376 26.954905078125
30.5856 29.3736919921875
30.672 29.0538140625
30.4992 27.5722294921875
30.4992 27.3063990234375
30.8448 29.0584740234375
30.8448 28.2189533203125
30.3264 28.74206953125
29.808 27.2949416015625
30.0672 26.930654296875
31.0176 26.8844220703125
31.104 27.005762109375
30.7584 27.2260388671875
30.3264 28.4944236328125
31.1904 27.744795703125
30.672 27.9375205078125
30.7584 28.5790728515625
29.7216 28.66455
29.0304 28.7920810546875
28.8576 28.6303359375
28.2528 28.416701953125
27.216 28.23112265625
26.6976 28.581120703125
19.9584 23.141858203125
26.6976 28.3625015625
27.3024 28.3396798828125
27.7344 28.43907890625
27.216 28.148410546875
26.784 27.340562109375
24.192 23.1001453125
16.3296 26.3321384765625
19.6128 21.758143359375
26.0064 27.455157421875
25.2288 21.490105078125
26.5248 26.043929296875
26.6976 27.0812970703125
27.0432 26.7529517578125
27.1296 26.8457203125
26.0064 26.6415837890625
25.7472 24.920356640625
26.352 26.6755078125
26.2656 26.08183125
25.8336 26.2286033203125
13.824 21.3163470703125
24.4512 25.8333328125
21.9456 23.4402029296875
22.896 24.4043666015625
24.2784 24.96900234375
22.7232 24.228253125
23.4144 23.9195689453125
22.8096 23.516335546875
21.7728 21.9922259765625
22.7232 23.1427546875
22.3776 22.930730859375
22.032 21.926569921875
22.7232 21.56876015625
22.1184 21.7375822265625
21.8592 22.0448390625
21.8592 20.9091392578125
21.4272 20.01406640625
21.168 20.533362890625
19.9584 19.4253626953125
7.776 11.682348046875
11.3184 11.5889458007813
11.3184 11.4686868164062
9.2448 10.6551500976563
5.184 7.009280859375
6.2208 6.77657065429687
2.9376 4.93372529296875
8.1216 9.73244619140625
10.5408 10.8352037109375
3.888 6.68478120117187
7.6032 8.493718359375
2.6784 5.40728041992188
2.3328 5.15634345703125
5.616 8.285537109375
11.232 10.5076977539062
11.664 9.47725751953125
7.2576 9.37397548828125
9.3312 9.9265447265625
7.9488 8.6353892578125
9.6768 9.86433134765625
8.0352 9.610702734375
10.2816 10.0282904296875
10.368 9.956615625
7.776 8.87918291015625
9.072 9.98936630859375
6.3072 7.80620888671875
3.8016 5.61820166015625
2.16 5.30877875976562
3.3696 5.88680419921875
2.16 5.38539873046875
1.1232 3.70593852539062
1.296 3.70505258789062
8.4672 9.92750185546875
8.8992 10.0394015625
8.8992 9.7886513671875
1.6416 3.8766357421875
6.1344 9.2365927734375
1.296 4.00937827148438
6.2208 8.7766998046875
10.368 10.3380899414062
8.8128 9.96431220703125
9.936 10.2104833007813
3.7152 5.4357978515625
6.048 8.029487109375
9.504 9.86049140625
7.1712 8.4195404296875
6.1344 8.1261017578125
1.8144 4.47794692382813
2.7648 5.63391826171875
1.9872 5.20653076171875
1.9008 5.11390458984375
1.6416 4.50079936523437
1.4688 4.17481435546875
1.6416 3.91062436523438
1.9008 4.40101625976563
2.7648 6.48047065429687
2.4192 5.68031000976563
