station goes
20.304 19.3611251953125
21.4272 19.609484765625
20.8224 19.59562265625
21.7728 20.217251953125
22.2048 20.2925865234375
21.9456 20.6850005859375
22.2912 20.978546484375
20.6496 19.8602595703125
23.328 21.105980859375
23.5008 21.674000390625
23.1552 21.5937931640625
21.6 21.4581849609375
24.4512 22.235895703125
24.9696 22.992887109375
23.1552 22.1718146484375
25.056 23.1656888671875
25.6608 23.75525390625
20.1312 17.892646875
23.0688 22.3695017578125
25.5744 24.3404560546875
26.6976 24.754004296875
21.168 21.4141236328125
22.9824 24.5380359375
24.8832 20.151263671875
20.736 17.2492171875
26.2656 25.9160396484375
23.9328 23.818489453125
21.9456 21.072139453125
20.8224 24.8919556640625
27.8208 26.346371484375
25.2288 25.3488814453125
27.3024 26.8293498046875
26.9568 26.094280078125
20.1312 20.6297419921875
20.0448 17.476027734375
28.8576 26.8817783203125
29.0304 27.1970525390625
28.7712 27.52823671875
28.1664 27.0469458984375
28.7712 27.5967791015625
28.7712 27.1264201171875
26.0928 26.1121939453125
24.0192 23.66854453125
29.8944 27.86506875
30.4128 28.18366171875
29.808 28.2203560546875
29.7216 28.336123828125
29.5488 28.2482859375
28.8576 28.168846875
28.944 28.520651953125
27.9072 26.073165234375
29.2032 28.335807421875
29.7216 28.6574923828125
29.376 28.8749935546875
28.944 27.9550880859375
29.6352 27.984434765625
29.9808 28.7240009765625
30.24 28.65603515625
29.808 28.5941935546875
29.4624 28.4287693359375
29.2032 28.7671359375
28.944 28.6944697265625
28.512 28.5947982421875
29.0304 28.231597265625
29.2896 28.52294765625
30.0672 28.6964455078125
29.4624 28.9967396484375
29.0304 28.4063712890625
28.8576 28.8381146484375
29.808 28.7889626953125
29.808 28.8080068359375
29.7216 29.522049609375
24.7968 23.452864453125
29.376 26.954905078125
30.5856 29.3736919921875
30.672 29.0538140625
30.4992 27.5722294921875
30.4992 27.3063990234375
30.8448 29.0584740234375
30.8448 28.2189533203125
30.3264 28.74206953125
29.808 27.2949416015625
30.0672 26.930654296875
31.0176 26.8844220703125
31.104 27.005762109375
30.7584 27.2260388671875
30.3264 28.4944236328125
31.1904 27.744795703125
30.672 27.9375205078125
30.7584 28.5790728515625
29.7216 28.66455
29.0304 28.7920810546875
28.8576 28.6303359375
28.2528 28.416701953125
27.216 28.23112265625
26.6976 28.581120703125
26.6976 28.3625015625
27.3024 28.3396798828125
27.7344 28.43907890625
27.216 28.148410546875
26.784 27.340562109375
24.192 23.1001453125
26.0064 27.455157421875
25.2288 21.490105078125
26.5248 26.043929296875
26.6976 27.0812970703125
27.0432 26.7529517578125
27.1296 26.8457203125
26.0064 26.6415837890625
25.7472 24.920356640625
26.352 26.6755078125
26.2656 26.08183125
25.8336 26.2286033203125
24.4512 25.8333328125
21.9456 23.4402029296875
22.896 24.4043666015625
24.2784 24.96900234375
22.7232 24.228253125
23.4144 23.9195689453125
22.8096 23.516335546875
21.7728 21.9922259765625
22.7232 23.1427546875
22.3776 22.930730859375
22.032 21.926569921875
22.7232 21.56876015625
22.1184 21.7375822265625
21.8592 22.0448390625
21.8592 20.9091392578125
21.4272 20.01406640625
21.168 20.533362890625
20.2176 19.68638203125
20.0448 19.7421908203125
20.8224 20.5032357421875
20.9088 20.27998828125
20.3904 20.047974609375
20.1312 20.48315625
20.9088 20.6950095703125
21.6 21.5602681640625
22.032 22.04283515625
24.9696 22.59447890625
24.2784 22.349035546875
25.92 23.7580224609375
25.6608 23.142976171875
24.9696 22.5777234375
24.4512 20.153555859375
20.736 16.562970703125
22.7232 20.8540986328125
25.6608 22.840526953125
27.3888 24.8808814453125
28.08 25.5107373046875
27.9936 25.81462265625
28.08 25.8046822265625
28.7712 25.571053125
28.3392 26.4830396484375
29.2032 26.3674845703125
29.5488 26.4876451171875
29.0304 26.338334765625
29.1168 26.4796259765625
22.1184 21.57636796875
30.3264 25.8029912109375
30.4128 26.34003984375
27.648 24.48333984375
28.6848 26.005763671875
29.376 25.8959302734375
31.2768 27.6147193359375
31.536 27.6988921875
31.3632 27.7676876953125
31.3632 27.917240625
31.3632 28.3152462890625
31.7952 28.3970390625
30.9312 28.0535009765625
29.376 28.2511740234375
30.24 28.5614560546875
29.808 28.9585916015625
30.5856 28.11168984375
30.3264 28.423107421875
30.0672 27.961161328125
29.8944 28.734401953125
29.6352 28.710534375
29.4624 28.5079130859375
29.376 28.8056126953125
28.6848 28.2639603515625
25.5744 25.6256103515625
27.9072 28.5134484375
26.352 26.8627130859375
25.6608 27.4090376953125
28.8576 28.7491271484375
29.5488 28.7008998046875
29.1168 28.5388716796875
28.1664 28.30710234375
28.5984 28.5845361328125
28.2528 28.0953087890625
29.7216 28.21365703125
29.2896 28.655166796875
29.2896 28.55367421875
28.1664 28.3592021484375
27.9936 28.4585115234375
27.9072 28.250258203125
27.9072 28.5326841796875
26.4384 27.785794921875
26.0064 26.711300390625
27.9072 28.4922228515625
26.352 28.51699921875
27.5616 28.5742142578125
27.3888 28.9724220703125
27.9072 28.337537109375
27.3888 28.175839453125
28.1664 28.5371208984375
28.3392 28.6928859375
27.9072 28.1207390625
28.4256 28.7703685546875
28.4256 28.5443982421875
27.216 28.7807818359375
25.7472 27.9939357421875
26.6112 28.441522265625
26.4384 28.150189453125
25.8336 27.8675806640625
27.0432 28.1977787109375
27.216 27.8664978515625
26.8704 27.59691796875
26.6976 28.2970142578125
26.9568 27.9768462890625
27.5616 27.775107421875
27.3024 27.8018419921875
27.0432 26.9970609375
27.216 27.6968091796875
27.3024 27.7862396484375
26.6112 27.72761484375
