128|412223.102155559|-523036.002349836|Salton Sea East|-68.8847998952951
127|377231.284905874|-512729.960612681|Salton Sea West|-68.5799998957584
180|391910.132283393|-534608.549256173|Westmorland West|-66.4463998990015
181|405477.194579531|-538877.470537424|Westmorland North|-60.9599999073408
154|379336.50346546|-488008.547420908|Salton Sea North|-60.9599999073408
141|372333.136153354|-489528.207560581|Mecca|-54.8639999166067
41|428542.481943064|-541784.031404215|Calipatria/Mulberry|-33.5279999490374
87|426907.824016304|-568146.713295305|Meloland|-15.2399999768352
140|-145168.422251278|12456.5435842145|Twitchell Island|-0.304799999536704
187|-221582.642632787|11142.3665039703|Black Point|0.304799999536704
157|-216612.713740035|113.184573260957|Point San Pedro|1.52399999768352
109|-205815.464050221|25081.2688325729|Carneros|1.52399999768352
19|-158129.542294893|-137289.803747702|Castroville|2.74319999583034
122|-156376.154864869|31116.8172420808|Hastings Tract|3.04799999536704
136|357391.083806182|-492588.500132985|Oasis|3.65759999444045
171|-180906.987963282|-44439.2836809173|Union City|4.87679999258726
174|176526.138653407|-466907.171763344|Long Beach|5.18159999212397
42|-117865.515686767|11134.5241903738|Lodi|7.01039998934419
166|-121071.224519362|13515.3902408804|Lodi West|7.6199999884176
63|-222628.514091079|14617.7346358147|Novato|7.6199999884176
30|-133909.686280187|96092.5337834017|Nicolaus|9.75359998517453
70|-107488.280815064|-19468.5340045399|Manteca|10.0583999847112
123|-185060.432635047|26259.7275574426|Suisun Valley|10.6679999837846
170|-177127.075880457|512.387750358152|Concord|10.6679999837846
71|-104676.986477889|-40627.6362503814|Modesto|10.6679999837846
121|-155837.545288867|45782.7873138372|Dixon|11.277599982858
185|452450.806692498|-610785.035784767|UC-Mex|11.8871999819315
155|-133967.435190047|65855.5850552846|Bryte|12.1919999814682
162|346725.6832844|-467493.862757583|Indio|12.1919999814682
68|400355.141234699|-574704.794686065|Seeley|12.1919999814682
176|342539.532250384|-474316.406079584|La Quinta|12.8015999805416
47|-145621.655904145|-8438.02840444085|Brentwood|13.7159999791517
186|486871.058806431|-599882.526013157|UC-San Luis|14.6303999777618
156|73964.232716313|-419894.602244143|Oxnard|14.6303999777618
27|-165509.032779469|89664.3871072239|Zamora|15.2399999768352
49|249889.736690173|-525125.078261028|Oceanside|15.2399999768352
32|-174578.214719667|136320.631329386|Colusa|16.7639999745187
6|-154539.389404984|59211.2143587737|Davis|18.2879999722022
116|-150833.047559542|-143092.505611226|Salinas North|18.5927999717389
129|-155001.787526664|-122340.165180258|Pajaro|19.8119999698858
92|-78170.8682849632|-108951.52501535|Kesterson|22.8599999652528
83|-243853.621201645|46353.8285840614|Santa Rosa|24.3839999629363
167|-129735.180332427|-31270.4779145917|Tracy|24.9935999620097
103|-246664.486309376|60338.5375262195|Windsor|25.9079999606198
56|-67532.8353254486|-111711.344135837|Los Banos|28.9559999559869
144|-228569.973298172|31015.5466437034|Petaluma East|29.5655999550603
111|-157147.296077359|-118075.974989689|Green Valley Road|33.5279999490374
89|-136576.144705504|-155228.551854142|Salinas South|36.5759999444045
69|-172539.978089701|-74970.4062989743|San Jose|38.099999942088
152|92664.2616850219|-419938.103758568|Camarillo|39.6239999397715
12|-156425.083554849|178521.903391013|Durham|39.6239999397715
139|-171856.74454095|55662.2063822605|Winters|41.4527999369917
168|-69073.4622832547|-50780.8169313|Denair|42.6719999351386
149|-191636.598512066|-23962.5311589572|Oakland Foothills|44.1959999328221
164|-218217.817313242|35740.423469049|Valley of the Moon|47.2439999281891
194|-74821.3587852978|-32610.5965398415|Oakdale|50.2919999235562
196|-185926.617936368|76981.2224712767|Esparto|53.0351999193865
161|-100633.484696706|-63467.7966113608|Patterson|55.7783999152168
124|-65146.9572424642|-124957.66071915|Panoche|55.7783999152168
7|-52536.3181541774|-129380.530545247|Firebaugh/Telles|56.3879999142902
77|-210103.159063534|49096.6819474592|Oakville|57.9119999119738
105|-33935.52890919|-154039.058800166|Westlands|58.2167999115105
15|13478.6219134319|-206549.636464027|Stratford|58.8263999105839
61|-184441.602143802|188333.575041117|Orland|60.3503999082674
148|-34161.8122044254|-78009.2475480949|Merced|60.9599999073408
177|-161324.932729819|-122555.114175862|Watsonville West|64.6175999017812
198|82797.523313294|-409163.072835081|Santa Paula|66.4463998990015
172|22678.9267015445|-253638.577771534|Lost Hills NW|68.5799998957584
175|490752.931217017|-500263.187143778|Palo Verde II|70.1039998934419
145|-16614.8258753503|-110965.247983365|Madera|70.1039998934419
72|491037.963297398|-500358.3240641|Palo Verde|70.1039998934419
114|-115608.72144683|-183438.056915818|Arroyo Seco|71.6279998911254
143|-130761.289947387|-131643.799229978|San Juan Valley|74.6759998864925
107|24254.235430585|-397537.816212884|Santa Barbara|76.199999884176
8|-184574.85783644|227563.883455963|Gerber|76.199999884176
151|498407.886915726|-483956.401999211|Ripley|76.5047998837127
131|-105883.551618722|71227.8501643695|Fair Oaks|80.7719998772266
190|-21500.5193136803|-180752.362360839|Five Points South West|82.2959998749101
158|-231677.901120456|48005.326162535|Bennett Valley|82.2959998749101
135|495282.94149946|-481356.926478115|Blythe NE|83.8199998725936
160|-66662.5757058891|-297729.734435584|San Luis Obispo West|86.8679998679606
2|-10130.3219632956|-186774.476665126|FivePoints/WSFS USDA|86.8679998679606
182|67136.6729452916|-242406.872451142|Delano|91.4399998610112
104|-177377.088856687|-111337.491702633|De Laveaga|91.4399998610112
52|-59964.3606429271|-300999.769129466|San Luis Obispo|100.583999847112
191|-166491.658310032|-37956.4285731311|Pleasanton|102.107999844796
